Model,Accuracy,Precision_macro,Recall_macro,F1_macro,ROC_AUC,Task,Precision,Recall,F1_Macro
Logistic Regression (Hate),0.881447963800905,,,,0.9724272080672908,Hate Speech,0.9566473988439308,0.7404921700223713,0.8711778520772355
Random Forest (Hate),0.9963800904977376,,,,0.9999111775225584,Hate Speech,0.9988738738738738,0.9921700223713646,0.9962390308612196
SVM (Hate),0.9556561085972852,,,,0.9876358261425376,Hate Speech,0.9806763285024156,0.9082774049217002,0.9533831142610908
Tiny Transformer (Hate),0.6411764705882353,,,,0.7207625303441382,Hate Speech,0.7988165680473372,0.1510067114093959,0.5088876502701002
Logistic Regression (Sentiment),0.8462007934086054,0.9215714494264308,0.6734521004980415,0.7455392751934485,0.985212674315122,Sentiment,,,
Random Forest (Sentiment),0.9993896856881294,0.9997015816174276,0.998389694041868,0.9990436214866372,0.9996019153081328,Sentiment,,,
SVM (Sentiment),0.9020445529447666,0.938574561596012,0.7988478751098693,0.8532892359713334,0.9932023702753346,Sentiment,,,
Tiny Transformer (Sentiment),0.8111077204760452,0.7410336663823226,0.6736486655024652,0.6892311419919056,0.8915657284819387,Sentiment,,,
